id,station_id,day,capacity
1,3,2011-08-22,17
2,5,2011-08-22,15
3,6,2011-08-22,15
4,8,2011-08-22,15
5,9,2011-08-22,19
6,10,2011-08-22,19
7,11,2011-08-22,15
8,12,2011-08-22,15
9,13,2011-08-22,15
10,14,2011-08-22,17
11,15,2011-08-22,15
12,16,2011-08-22,19
13,17,2011-08-22,15
14,18,2011-08-22,15
15,20,2011-08-22,19
16,21,2011-08-22,23
17,22,2011-08-22,47
18,23,2011-08-22,18
19,24,2011-08-22,15
20,25,2011-08-22,15
21,26,2011-08-22,15
22,27,2011-08-22,15
23,30,2011-08-22,15
24,31,2011-08-22,11
25,32,2011-08-22,11
26,33,2011-08-22,19
27,34,2011-08-22,15
28,35,2011-08-22,11
29,36,2011-08-22,17
30,37,2011-08-22,15
31,38,2011-08-22,35
32,39,2011-08-22,19
33,40,2011-08-22,13
34,41,2011-08-22,19
35,42,2011-08-22,19
36,43,2011-08-22,15
37,44,2011-08-22,19
38,45,2011-08-22,19
39,46,2011-08-22,19
40,47,2011-08-22,11
41,48,2011-08-22,15
42,49,2011-08-22,15
43,50,2011-08-22,15
44,51,2011-08-22,15
45,52,2011-08-22,15
46,53,2011-08-22,15
47,55,2011-08-22,15
48,56,2011-08-22,15
49,57,2011-08-22,11
50,3,2011-08-23,17
51,5,2011-08-23,15
52,6,2011-08-23,15
53,8,2011-08-23,15
54,9,2011-08-23,19
55,10,2011-08-23,19
56,11,2011-08-23,15
57,12,2011-08-23,15
58,13,2011-08-23,15
59,14,2011-08-23,17
60,15,2011-08-23,15
61,16,2011-08-23,19
62,17,2011-08-23,15
63,18,2011-08-23,15
64,20,2011-08-23,19
65,21,2011-08-23,25
66,22,2011-08-23,47
67,23,2011-08-23,19
68,24,2011-08-23,15
69,25,2011-08-23,15
70,26,2011-08-23,15
71,27,2011-08-23,15
72,30,2011-08-23,15
73,31,2011-08-23,11
74,32,2011-08-23,11
75,33,2011-08-23,19
76,34,2011-08-23,15
77,35,2011-08-23,11
78,36,2011-08-23,17
79,37,2011-08-23,15
80,38,2011-08-23,35
81,39,2011-08-23,19
82,40,2011-08-23,15
83,41,2011-08-23,19
84,42,2011-08-23,19
85,43,2011-08-23,15
86,44,2011-08-23,19
87,45,2011-08-23,19
88,46,2011-08-23,19
89,47,2011-08-23,11
90,48,2011-08-23,15
91,49,2011-08-23,15
92,50,2011-08-23,15
93,51,2011-08-23,15
94,52,2011-08-23,15
95,53,2011-08-23,15
96,55,2011-08-23,15
97,56,2011-08-23,15
98,57,2011-08-23,11
99,3,2011-08-24,17
100,5,2011-08-24,13
101,6,2011-08-24,15
102,8,2011-08-24,15
103,9,2011-08-24,19
104,10,2011-08-24,19
105,11,2011-08-24,15
106,12,2011-08-24,15
107,13,2011-08-24,15
108,14,2011-08-24,17
109,15,2011-08-24,15
110,16,2011-08-24,19
111,17,2011-08-24,15
112,18,2011-08-24,15
113,20,2011-08-24,19
114,21,2011-08-24,25
115,22,2011-08-24,47
116,23,2011-08-24,19
117,24,2011-08-24,15
118,25,2011-08-24,15
119,26,2011-08-24,15
120,27,2011-08-24,15
121,30,2011-08-24,15
122,31,2011-08-24,11
123,32,2011-08-24,11
124,33,2011-08-24,19
125,34,2011-08-24,15
126,35,2011-08-24,11
127,36,2011-08-24,17
128,37,2011-08-24,15
129,38,2011-08-24,35
130,39,2011-08-24,19
131,40,2011-08-24,15
132,41,2011-08-24,19
133,42,2011-08-24,19
134,43,2011-08-24,15
135,44,2011-08-24,19
136,45,2011-08-24,19
137,46,2011-08-24,19
138,47,2011-08-24,11
139,48,2011-08-24,15
140,49,2011-08-24,15
141,50,2011-08-24,15
142,51,2011-08-24,15
143,52,2011-08-24,15
144,53,2011-08-24,15
145,55,2011-08-24,15
146,56,2011-08-24,15
147,57,2011-08-24,11
148,3,2011-08-25,17
149,5,2011-08-25,15
150,6,2011-08-25,15
151,8,2011-08-25,15
152,9,2011-08-25,19
153,10,2011-08-25,19
154,11,2011-08-25,15
155,12,2011-08-25,15
156,13,2011-08-25,15
157,14,2011-08-25,17
158,15,2011-08-25,15
159,16,2011-08-25,19
160,17,2011-08-25,15
161,18,2011-08-25,15
162,20,2011-08-25,19
163,21,2011-08-25,25
164,22,2011-08-25,47
165,23,2011-08-25,19
166,24,2011-08-25,15
167,25,2011-08-25,15
168,26,2011-08-25,15
169,27,2011-08-25,15
170,30,2011-08-25,15
171,31,2011-08-25,11
172,32,2011-08-25,11
173,33,2011-08-25,19
174,34,2011-08-25,15
175,35,2011-08-25,11
176,36,2011-08-25,17
177,37,2011-08-25,15
178,38,2011-08-25,35
179,39,2011-08-25,19
180,40,2011-08-25,15
181,41,2011-08-25,19
182,42,2011-08-25,19
183,43,2011-08-25,15
184,44,2011-08-25,19
185,45,2011-08-25,19
186,46,2011-08-25,19
187,47,2011-08-25,11
188,48,2011-08-25,15
189,49,2011-08-25,15
190,50,2011-08-25,15
191,51,2011-08-25,15
192,52,2011-08-25,15
193,53,2011-08-25,15
194,55,2011-08-25,15
195,56,2011-08-25,15
196,57,2011-08-25,11
197,3,2011-08-26,16
198,5,2011-08-26,15
199,6,2011-08-26,15
200,8,2011-08-26,15
201,9,2011-08-26,19
202,10,2011-08-26,19
203,11,2011-08-26,15
204,12,2011-08-26,15
205,13,2011-08-26,15
206,14,2011-08-26,17
207,15,2011-08-26,15
208,16,2011-08-26,19
209,17,2011-08-26,15
210,18,2011-08-26,15
211,20,2011-08-26,19
212,21,2011-08-26,25
213,22,2011-08-26,47
214,23,2011-08-26,19
215,24,2011-08-26,15
216,25,2011-08-26,15
217,26,2011-08-26,15
218,27,2011-08-26,15
219,30,2011-08-26,14
220,31,2011-08-26,11
221,32,2011-08-26,11
222,33,2011-08-26,18
223,34,2011-08-26,15
224,35,2011-08-26,11
225,36,2011-08-26,17
226,37,2011-08-26,15
227,38,2011-08-26,35
228,39,2011-08-26,19
229,40,2011-08-26,15
230,41,2011-08-26,19
231,42,2011-08-26,19
232,43,2011-08-26,15
233,44,2011-08-26,19
234,45,2011-08-26,19
235,46,2011-08-26,19
236,47,2011-08-26,11
237,48,2011-08-26,15
238,49,2011-08-26,15
239,50,2011-08-26,15
240,51,2011-08-26,15
241,52,2011-08-26,14
242,53,2011-08-26,15
243,55,2011-08-26,15
244,56,2011-08-26,15
245,57,2011-08-26,11
246,3,2011-08-27,16
247,5,2011-08-27,15
248,6,2011-08-27,14
249,8,2011-08-27,15
250,9,2011-08-27,19
251,10,2011-08-27,19
252,11,2011-08-27,15
253,12,2011-08-27,15
254,13,2011-08-27,15
255,14,2011-08-27,17
256,15,2011-08-27,15
257,16,2011-08-27,19
258,17,2011-08-27,15
259,18,2011-08-27,15
260,20,2011-08-27,19
261,21,2011-08-27,25
262,22,2011-08-27,45
263,23,2011-08-27,18
264,24,2011-08-27,15
265,25,2011-08-27,15
266,26,2011-08-27,15
267,27,2011-08-27,15
268,30,2011-08-27,14
269,31,2011-08-27,11
270,32,2011-08-27,11
271,33,2011-08-27,18
272,34,2011-08-27,15
273,35,2011-08-27,11
274,36,2011-08-27,17
275,37,2011-08-27,15
276,38,2011-08-27,35
277,39,2011-08-27,19
278,40,2011-08-27,15
279,41,2011-08-27,19
280,42,2011-08-27,19
281,43,2011-08-27,15
282,44,2011-08-27,18
283,45,2011-08-27,18
284,46,2011-08-27,19
285,47,2011-08-27,11
286,48,2011-08-27,15
287,49,2011-08-27,15
288,50,2011-08-27,15
289,51,2011-08-27,15
290,52,2011-08-27,15
291,53,2011-08-27,15
292,55,2011-08-27,15
293,56,2011-08-27,15
294,57,2011-08-27,11
295,3,2011-08-28,16
296,5,2011-08-28,15
297,6,2011-08-28,14
298,8,2011-08-28,15
299,9,2011-08-28,19
300,10,2011-08-28,19
301,11,2011-08-28,15
302,12,2011-08-28,15
303,13,2011-08-28,15
304,14,2011-08-28,17
305,15,2011-08-28,15
306,16,2011-08-28,19
307,17,2011-08-28,15
308,18,2011-08-28,15
309,20,2011-08-28,19
310,21,2011-08-28,25
311,22,2011-08-28,45
312,23,2011-08-28,18
313,24,2011-08-28,15
314,25,2011-08-28,15
315,26,2011-08-28,15
316,27,2011-08-28,15
317,30,2011-08-28,14
318,31,2011-08-28,11
319,32,2011-08-28,11
320,33,2011-08-28,18
321,34,2011-08-28,15
322,35,2011-08-28,11
323,36,2011-08-28,17
324,37,2011-08-28,15
325,38,2011-08-28,35
326,39,2011-08-28,19
327,40,2011-08-28,14
328,41,2011-08-28,19
329,42,2011-08-28,19
330,43,2011-08-28,15
331,44,2011-08-28,18
332,45,2011-08-28,18
333,46,2011-08-28,19
334,47,2011-08-28,11
335,48,2011-08-28,15
336,49,2011-08-28,15
337,50,2011-08-28,15
338,51,2011-08-28,15
339,52,2011-08-28,15
340,53,2011-08-28,15
341,55,2011-08-28,15
342,56,2011-08-28,15
343,57,2011-08-28,11
344,3,2011-08-29,16
345,4,2011-08-29,15
346,5,2011-08-29,15
347,6,2011-08-29,14
348,8,2011-08-29,15
349,9,2011-08-29,19
350,10,2011-08-29,19
351,11,2011-08-29,15
352,12,2011-08-29,15
353,13,2011-08-29,15
354,14,2011-08-29,17
355,15,2011-08-29,15
356,16,2011-08-29,19
357,17,2011-08-29,15
358,18,2011-08-29,15
359,20,2011-08-29,19
360,21,2011-08-29,25
361,22,2011-08-29,45
362,23,2011-08-29,19
363,24,2011-08-29,15
364,25,2011-08-29,15
365,26,2011-08-29,15
366,27,2011-08-29,15
367,30,2011-08-29,15
368,31,2011-08-29,11
369,32,2011-08-29,11
370,33,2011-08-29,18
371,34,2011-08-29,15
372,35,2011-08-29,11
373,36,2011-08-29,17
374,37,2011-08-29,15
375,38,2011-08-29,35
376,39,2011-08-29,19
377,40,2011-08-29,14
378,41,2011-08-29,19
379,42,2011-08-29,19
380,43,2011-08-29,15
381,44,2011-08-29,19
382,45,2011-08-29,18
383,46,2011-08-29,19
384,47,2011-08-29,11
385,48,2011-08-29,15
386,49,2011-08-29,15
387,50,2011-08-29,15
388,51,2011-08-29,15
389,52,2011-08-29,15
390,53,2011-08-29,15
391,55,2011-08-29,15
392,56,2011-08-29,15
393,57,2011-08-29,11
394,3,2011-08-30,16
395,4,2011-08-30,15
396,5,2011-08-30,13
397,6,2011-08-30,15
398,8,2011-08-30,15
399,9,2011-08-30,19
400,10,2011-08-30,19
401,11,2011-08-30,15
402,12,2011-08-30,15
403,13,2011-08-30,15
404,14,2011-08-30,17
405,15,2011-08-30,15
406,16,2011-08-30,19
407,17,2011-08-30,15
408,18,2011-08-30,15
409,20,2011-08-30,19
410,21,2011-08-30,25
411,22,2011-08-30,45
412,23,2011-08-30,19
413,24,2011-08-30,15
414,25,2011-08-30,15
415,26,2011-08-30,15
416,27,2011-08-30,15
417,29,2011-08-30,15
418,30,2011-08-30,15
419,31,2011-08-30,11
420,32,2011-08-30,11
421,33,2011-08-30,19
422,34,2011-08-30,15
423,35,2011-08-30,11
424,36,2011-08-30,17
425,37,2011-08-30,15
426,38,2011-08-30,35
427,39,2011-08-30,19
428,40,2011-08-30,14
429,41,2011-08-30,19
430,42,2011-08-30,19
431,43,2011-08-30,15
432,44,2011-08-30,19
433,45,2011-08-30,18
434,46,2011-08-30,19
435,47,2011-08-30,11
436,48,2011-08-30,14
437,49,2011-08-30,15
438,50,2011-08-30,15
439,51,2011-08-30,14
440,52,2011-08-30,14
441,53,2011-08-30,15
442,54,2011-08-30,0
443,55,2011-08-30,15
444,56,2011-08-30,15
445,57,2011-08-30,11
446,3,2011-08-31,16
447,4,2011-08-31,15
448,5,2011-08-31,13
449,6,2011-08-31,15
450,8,2011-08-31,15
451,9,2011-08-31,19
452,10,2011-08-31,19
453,11,2011-08-31,15
454,12,2011-08-31,15
455,13,2011-08-31,15
456,14,2011-08-31,17
457,15,2011-08-31,15
458,16,2011-08-31,19
459,17,2011-08-31,15
460,18,2011-08-31,15
461,20,2011-08-31,19
462,21,2011-08-31,25
463,22,2011-08-31,46
464,23,2011-08-31,19
465,24,2011-08-31,15
466,25,2011-08-31,15
467,26,2011-08-31,15
468,27,2011-08-31,15
469,29,2011-08-31,15
470,30,2011-08-31,15
471,31,2011-08-31,11
472,32,2011-08-31,11
473,33,2011-08-31,19
474,34,2011-08-31,14
475,35,2011-08-31,11
476,36,2011-08-31,16
477,37,2011-08-31,15
478,38,2011-08-31,35
479,39,2011-08-31,19
480,40,2011-08-31,13
481,41,2011-08-31,19
482,42,2011-08-31,19
483,43,2011-08-31,15
484,44,2011-08-31,19
485,45,2011-08-31,18
486,46,2011-08-31,19
487,47,2011-08-31,11
488,48,2011-08-31,15
489,49,2011-08-31,15
490,50,2011-08-31,15
491,51,2011-08-31,15
492,52,2011-08-31,14
493,53,2011-08-31,15
494,54,2011-08-31,11
495,55,2011-08-31,15
496,56,2011-08-31,15
497,57,2011-08-31,11
498,59,2011-08-31,15
499,3,2011-09-01,17
500,4,2011-09-01,15
501,5,2011-09-01,13
502,6,2011-09-01,15
503,8,2011-09-01,15
504,9,2011-09-01,19
505,10,2011-09-01,19
506,11,2011-09-01,15
507,12,2011-09-01,15
508,13,2011-09-01,15
509,14,2011-09-01,17
510,15,2011-09-01,15
511,16,2011-09-01,19
512,17,2011-09-01,15
513,18,2011-09-01,15
514,20,2011-09-01,19
515,21,2011-09-01,25
516,22,2011-09-01,46
517,23,2011-09-01,19
518,24,2011-09-01,15
519,25,2011-09-01,15
520,26,2011-09-01,15
521,27,2011-09-01,15
522,29,2011-09-01,15
523,30,2011-09-01,15
524,31,2011-09-01,11
525,32,2011-09-01,11
526,33,2011-09-01,19
527,34,2011-09-01,14
528,35,2011-09-01,11
529,36,2011-09-01,16
530,37,2011-09-01,15
531,38,2011-09-01,35
532,39,2011-09-01,19
533,40,2011-09-01,14
534,41,2011-09-01,19
535,42,2011-09-01,19
536,43,2011-09-01,15
537,44,2011-09-01,18
538,45,2011-09-01,18
539,46,2011-09-01,19
540,47,2011-09-01,11
541,48,2011-09-01,15
542,49,2011-09-01,15
543,50,2011-09-01,15
544,51,2011-09-01,15
545,52,2011-09-01,15
546,53,2011-09-01,15
