id,status,duration,start_date,start_station,end_date,end_station
9726,Closed,10659471,2011-08-06 16:02:00-04,52,2011-12-08 00:00:00-05,
15931,Closed,10196477,2011-08-12 00:38:00-04,36,2011-12-08 00:00:00-05,
30170,Closed,9340553,2011-08-21 22:24:00-04,35,2011-12-08 00:00:00-05,
31067,Closed,2923342,2011-08-22 16:59:00-04,24,2011-09-25 13:01:00-04,44
31618,Closed,9260227,2011-08-22 20:42:00-04,24,2011-12-08 00:00:00-05,
31674,Closed,9257258,2011-08-22 21:32:00-04,44,2011-12-08 00:00:00-05,64
37863,Closed,2645243,2011-08-26 22:27:00-04,45,2011-09-26 13:15:00-04,45
39399,Closed,8677196,2011-08-29 14:40:00-04,14,2011-12-08 00:00:00-05,63
57202,Closed,7625640,2011-09-10 18:45:00-04,32,2011-12-08 00:00:00-05,
61664,Closed,7390291,2011-09-13 12:08:00-04,36,2011-12-08 00:00:00-05,
67708,Closed,1867108,2011-09-17 01:29:00-04,36,2011-10-08 16:07:00-04,53
71569,Closed,6860474,2011-09-19 15:18:00-04,42,2011-12-08 00:00:00-05,
72845,Closed,199873,2011-09-20 10:56:00-04,8,2011-09-22 18:27:00-04,8
73207,Closed,176578,2011-09-20 17:34:00-04,27,2011-09-22 18:37:00-04,27
74095,Closed,621821,2011-09-21 10:32:00-04,52,2011-09-28 15:16:00-04,29
74098,Closed,621785,2011-09-21 10:33:00-04,52,2011-09-28 15:16:00-04,29
74108,Closed,85591,2011-09-21 10:38:00-04,9,2011-09-22 10:25:00-04,23
74283,Closed,258018,2011-09-21 12:58:00-04,41,2011-09-24 12:39:00-04,41
74561,Closed,31781,2011-09-21 15:54:00-04,41,2011-09-22 00:44:00-04,53
74567,Closed,31554,2011-09-21 15:58:00-04,41,2011-09-22 00:44:00-04,53
74568,Closed,31564,2011-09-21 15:58:00-04,41,2011-09-22 00:44:00-04,53
74796,Closed,56159,2011-09-21 17:19:00-04,9,2011-09-22 08:55:00-04,9
75232,Closed,43522,2011-09-21 20:43:00-04,35,2011-09-22 08:49:00-04,35
75264,Closed,40957,2011-09-21 21:10:00-04,55,2011-09-22 08:33:00-04,14
75265,Closed,40919,2011-09-21 21:11:00-04,55,2011-09-22 08:33:00-04,14
75360,Closed,8552,2011-09-21 22:44:00-04,32,2011-09-22 01:07:00-04,45
75361,Closed,8600,2011-09-21 22:44:00-04,32,2011-09-22 01:07:00-04,45
75393,Closed,2649,2011-09-21 23:28:00-04,23,2011-09-22 00:12:00-04,16
75394,Closed,2623,2011-09-21 23:28:00-04,23,2011-09-22 00:12:00-04,16
75404,Closed,4205,2011-09-21 23:39:00-04,30,2011-09-22 00:49:00-04,5
75407,Closed,3180,2011-09-21 23:42:00-04,50,2011-09-22 00:35:00-04,54
75410,Closed,1366,2011-09-21 23:50:00-04,53,2011-09-22 00:13:00-04,11
75411,Closed,1205,2011-09-21 23:48:00-04,53,2011-09-22 00:08:00-04,32
75413,Closed,677,2011-09-21 23:49:00-04,25,2011-09-22 00:01:00-04,20
75414,Closed,1494,2011-09-21 23:50:00-04,53,2011-09-22 00:15:00-04,11
75415,Closed,442,2011-09-21 23:58:00-04,11,2011-09-22 00:05:00-04,46
75416,Closed,602,2011-09-22 00:09:00-04,55,2011-09-22 00:19:00-04,49
75418,Closed,725,2011-09-22 00:23:00-04,12,2011-09-22 00:35:00-04,49
75419,Closed,429,2011-09-22 00:24:00-04,55,2011-09-22 00:31:00-04,32
75420,Closed,1074,2011-09-22 00:26:00-04,57,2011-09-22 00:44:00-04,20
75421,Closed,230,2011-09-22 00:28:00-04,10,2011-09-22 00:32:00-04,9
75422,Closed,52880,2011-09-22 00:44:00-04,21,2011-09-22 15:25:00-04,23
75423,Closed,52896,2011-09-22 00:44:00-04,21,2011-09-22 15:25:00-04,23
75424,Closed,52735,2011-09-22 00:46:00-04,21,2011-09-22 15:25:00-04,23
75425,Closed,1450,2011-09-22 00:49:00-04,41,2011-09-22 01:13:00-04,41
75426,Closed,506,2011-09-22 00:50:00-04,42,2011-09-22 00:59:00-04,55
75427,Closed,382,2011-09-22 01:05:00-04,45,2011-09-22 01:12:00-04,34
75428,Closed,4760,2011-09-22 01:17:00-04,52,2011-09-22 02:36:00-04,52
75429,Closed,1570,2011-09-22 01:17:00-04,41,2011-09-22 01:43:00-04,41
75432,Closed,27430,2011-09-22 01:27:00-04,52,2011-09-22 09:05:00-04,43
75433,Closed,327,2011-09-22 01:29:00-04,43,2011-09-22 01:35:00-04,38
75434,Closed,35500,2011-09-22 02:18:00-04,53,2011-09-22 12:10:00-04,24
75435,Closed,24619,2011-09-22 02:18:00-04,53,2011-09-22 09:08:00-04,40
75436,Closed,3447,2011-09-22 02:26:00-04,53,2011-09-22 03:23:00-04,43
75437,Closed,626,2011-09-22 02:45:00-04,4,2011-09-22 02:56:00-04,48
75438,Closed,609,2011-09-22 03:10:00-04,9,2011-09-22 03:20:00-04,33
75439,Closed,963,2011-09-22 03:58:00-04,23,2011-09-22 04:14:00-04,30
