id,status,duration,start_date,start_station,end_date,end_station
480437,Closed,123248,2012-08-18 04:38:00-04,8,2012-08-19 14:52:00-04,8,T01381,Casual,,,
481594,Closed,71246,2012-08-18 17:05:00-04,18,2012-08-19 12:52:00-04,66
481600,Closed,73501,2012-08-18 17:06:00-04,18,2012-08-19 13:31:00-04,18,T01445,Casual,,,
481621,Closed,70851,2012-08-18 17:11:00-04,18,2012-08-19 12:52:00-04,66
482314,Closed,7259,2012-08-18 22:07:00-04,46,2012-08-19 00:08:00-04,61
482439,Closed,4456,2012-08-18 23:28:00-04,54,2012-08-19 00:42:00-04,60,T01127,Casual,,,
482444,Closed,4344,2012-08-18 23:29:00-04,54,2012-08-19 00:41:00-04,60
482445,Closed,1930,2012-08-18 23:29:00-04,8,2012-08-19 00:01:00-04,65
482452,Closed,1875,2012-08-18 23:40:00-04,44,2012-08-19 00:12:00-04,33,T01233,Casual,,,
482454,Closed,1397,2012-08-18 23:50:00-04,24,2012-08-19 00:13:00-04,50,T01122,Casual,,,
482455,Closed,893,2012-08-18 23:51:00-04,42,2012-08-19 00:06:00-04,35
482456,Closed,1357,2012-08-18 23:50:00-04,24,2012-08-19 00:13:00-04,50
482457,Closed,884,2012-08-18 23:51:00-04,42,2012-08-19 00:06:00-04,35,T01368,Casual,,,
482458,Closed,695,2012-08-18 23:55:00-04,9,2012-08-19 00:06:00-04,66
482460,Closed,610,2012-08-18 23:58:00-04,40,2012-08-19 00:08:00-04,22
482461,Closed,655,2012-08-18 23:59:00-04,73,2012-08-19 00:10:00-04,79
482462,Closed,668,2012-08-18 23:59:00-04,73,2012-08-19 00:10:00-04,79,T01350,Registered,02143,1980,Female
482463,Closed,1059,2012-08-18 23:59:00-04,41,2012-08-19 00:17:00-04,42,T01448,Registered,02116,1991,Male
482464,Closed,573,2012-08-19 00:02:00-04,58,2012-08-19 00:12:00-04,33,T01279,Casual,,,
482465,Closed,1479,2012-08-19 00:03:00-04,76,2012-08-19 00:28:00-04,18,T01133,Casual,,,
482466,Closed,566,2012-08-19 00:03:00-04,54,2012-08-19 00:13:00-04,61,T01306,Casual,,,
482467,Closed,477,2012-08-19 00:12:00-04,68,2012-08-19 00:19:00-04,78
482468,Closed,397,2012-08-19 00:12:00-04,69,2012-08-19 00:18:00-04,45
482469,Closed,1271,2012-08-19 00:13:00-04,35,2012-08-19 00:34:00-04,65,T01368,Casual,,,
482470,Closed,1249,2012-08-19 00:14:00-04,35,2012-08-19 00:35:00-04,65
482471,Closed,1011,2012-08-19 00:15:00-04,8,2012-08-19 00:32:00-04,79
482472,Closed,812,2012-08-19 00:15:00-04,62,2012-08-19 00:29:00-04,75
482473,Closed,839,2012-08-19 00:16:00-04,64,2012-08-19 00:30:00-04,44
482474,Closed,818,2012-08-19 00:16:00-04,64,2012-08-19 00:30:00-04,44
482475,Closed,322,2012-08-19 00:18:00-04,17,2012-08-19 00:23:00-04,18
482476,Closed,265,2012-08-19 00:19:00-04,17,2012-08-19 00:23:00-04,18
