id,status,duration,start_date,start_station,end_date,end_station
518596,Closed,59066,2012-08-29 18:39:00-04,22,2012-08-30 11:03:00-04,20,T01094,Registered,02205,1965,Female
518814,Closed,66566,2012-08-29 19:32:00-04,72,2012-08-30 14:02:00-04,6,T01209,Registered,02446,1976,Male
519246,Closed,4679,2012-08-29 22:49:00-04,52,2012-08-30 00:07:00-04,73
519250,Closed,4688,2012-08-29 22:49:00-04,52,2012-08-30 00:07:00-04,73
519289,Closed,618,2012-08-30 00:03:00-04,55,2012-08-30 00:13:00-04,60,T01095,Registered,02114,1979,Female
519290,Closed,1306,2012-08-30 00:11:00-04,71,2012-08-30 00:33:00-04,80,T01344,Registered,02142,1987,Male
519291,Closed,568,2012-08-30 00:02:00-04,11,2012-08-30 00:11:00-04,57
519292,Closed,1622,2012-08-30 00:12:00-04,68,2012-08-30 00:39:00-04,77
519293,Closed,769,2012-08-30 00:13:00-04,75,2012-08-30 00:26:00-04,46,T01069,Casual,,,
519294,Closed,695,2012-08-30 00:13:00-04,80,2012-08-30 00:24:00-04,33
519295,Closed,394,2012-08-30 00:15:00-04,22,2012-08-30 00:22:00-04,58,T01398,Registered,02116,1983,Male
519297,Closed,278,2012-08-30 00:23:00-04,58,2012-08-30 00:28:00-04,36
519298,Closed,624,2012-08-30 00:26:00-04,42,2012-08-30 00:37:00-04,45,T01373,Registered,02215,1978,Male
519299,Closed,351,2012-08-30 00:38:00-04,55,2012-08-30 00:44:00-04,45
519300,Closed,356,2012-08-30 00:43:00-04,85,2012-08-30 00:49:00-04,83
519301,Closed,394,2012-08-30 00:43:00-04,85,2012-08-30 00:49:00-04,83
519302,Closed,1679,2012-08-30 00:46:00-04,40,2012-08-30 01:14:00-04,43
519303,Closed,1382,2012-08-30 00:46:00-04,75,2012-08-30 01:09:00-04,66
519304,Closed,504,2012-08-30 00:48:00-04,40,2012-08-30 00:56:00-04,40
519305,Closed,1598,2012-08-30 00:49:00-04,40,2012-08-30 01:15:00-04,43,T01235,Casual,,,
519307,Closed,196,2012-08-30 01:04:00-04,80,2012-08-30 01:07:00-04,67,T01369,Registered,02139,1986,Female
519308,Closed,919,2012-08-30 01:16:00-04,43,2012-08-30 01:31:00-04,38,T01235,Casual,,,
519309,Closed,759,2012-08-30 01:16:00-04,43,2012-08-30 01:29:00-04,38
519310,Closed,1088,2012-08-30 01:19:00-04,26,2012-08-30 01:38:00-04,61
519311,Closed,833,2012-08-30 01:20:00-04,40,2012-08-30 01:33:00-04,38
519312,Closed,966,2012-08-30 01:20:00-04,40,2012-08-30 01:36:00-04,38,T01442,Casual,,,
519313,Closed,368,2012-08-30 01:22:00-04,26,2012-08-30 01:28:00-04,36,T01022,Casual,,,
519314,Closed,1212,2012-08-30 01:25:00-04,66,2012-08-30 01:46:00-04,21
519316,Closed,1007,2012-08-30 01:27:00-04,66,2012-08-30 01:43:00-04,21
519317,Closed,1016,2012-08-30 01:27:00-04,66,2012-08-30 01:44:00-04,21
519318,Closed,991,2012-08-30 01:27:00-04,66,2012-08-30 01:44:00-04,21
519319,Closed,1239,2012-08-30 01:31:00-04,38,2012-08-30 01:51:00-04,90
519320,Closed,1276,2012-08-30 01:33:00-04,38,2012-08-30 01:54:00-04,90,T01235,Casual,,,
519321,Closed,1432,2012-08-30 01:36:00-04,38,2012-08-30 02:00:00-04,90
519322,Closed,1113,2012-08-30 01:39:00-04,38,2012-08-30 01:58:00-04,90,T01442,Casual,,,
519323,Closed,269,2012-08-30 01:52:00-04,32,2012-08-30 01:56:00-04,14
519324,Closed,445,2012-08-30 01:53:00-04,32,2012-08-30 02:00:00-04,41,T01276,Registered,02215,1979,Male
519325,Closed,1159,2012-08-30 02:03:00-04,90,2012-08-30 02:22:00-04,80
519326,Closed,1103,2012-08-30 02:03:00-04,90,2012-08-30 02:22:00-04,80
519327,Closed,1104,2012-08-30 02:03:00-04,90,2012-08-30 02:22:00-04,80,T01442,Casual,,,
519328,Closed,1056,2012-08-30 02:04:00-04,90,2012-08-30 02:22:00-04,80,T01235,Casual,,,
519329,Closed,2917,2012-08-30 02:15:00-04,45,2012-08-30 03:03:00-04,66,T01373,Registered,02215,1976,Male
519330,Closed,551,2012-08-30 02:17:00-04,78,2012-08-30 02:26:00-04,74
519332,Closed,1394,2012-08-30 02:27:00-04,80,2012-08-30 02:51:00-04,80,T01235,Casual,,,
519333,Closed,1397,2012-08-30 02:27:00-04,80,2012-08-30 02:50:00-04,80,T01388,Casual,,,
519334,Closed,1375,2012-08-30 02:27:00-04,80,2012-08-30 02:50:00-04,80
