id,status,duration,start_date,start_station,end_date,end_station
537923,Closed,434698,2012-09-05 12:38:00-04,31,2012-09-10 13:23:00-04,
549589,Closed,102199,2012-09-09 03:07:00-04,21,2012-09-10 07:30:00-04,4,T01400,Casual,,,
551714,Closed,78929,2012-09-09 18:14:00-04,58,2012-09-10 16:09:00-04,58
551731,Closed,78670,2012-09-09 18:17:00-04,58,2012-09-10 16:08:00-04,58
552281,Closed,4968,2012-09-09 23:36:00-04,16,2012-09-10 00:59:00-04,42
552287,Closed,583,2012-09-09 23:52:00-04,23,2012-09-10 00:02:00-04,16
552289,Closed,843,2012-09-09 23:54:00-04,42,2012-09-10 00:08:00-04,25,T01161,Registered,02215,1991,Female
552290,Closed,848,2012-09-09 23:54:00-04,42,2012-09-10 00:08:00-04,25,T01208,Registered,02118,1991,Male
552292,Closed,524,2012-09-09 23:56:00-04,49,2012-09-10 00:05:00-04,52,T01341,Registered,02116,1983,Male
552293,Closed,633,2012-09-09 23:57:00-04,16,2012-09-10 00:08:00-04,40
552294,Closed,839,2012-09-10 00:03:00-04,61,2012-09-10 00:17:00-04,63
552295,Closed,332,2012-09-10 00:05:00-04,41,2012-09-10 00:11:00-04,19
552296,Closed,843,2012-09-10 00:06:00-04,11,2012-09-10 00:20:00-04,25
552297,Closed,431,2012-09-10 00:09:00-04,12,2012-09-10 00:17:00-04,32
552298,Closed,27,2012-09-10 00:11:00-04,80,2012-09-10 00:11:00-04,80
552299,Closed,894,2012-09-10 00:16:00-04,75,2012-09-10 00:31:00-04,41
552300,Closed,222,2012-09-10 00:27:00-04,67,2012-09-10 00:31:00-04,80
552301,Closed,362,2012-09-10 00:35:00-04,46,2012-09-10 00:41:00-04,45
552302,Closed,1420,2012-09-10 00:38:00-04,68,2012-09-10 01:02:00-04,88
552303,Closed,389,2012-09-10 00:45:00-04,32,2012-09-10 00:51:00-04,30
552305,Closed,658,2012-09-10 00:53:00-04,75,2012-09-10 01:04:00-04,78
