id,status,duration,start_date,start_station,end_date,end_station
614899,Closed,40770,2012-09-27 18:09:00-04,11,2012-09-28 05:28:00-04,55
615763,Closed,1783,2012-09-27 23:42:00-04,45,2012-09-28 00:12:00-04,12,T01410,Registered,02115,1990,Male
615764,Closed,1775,2012-09-27 23:42:00-04,45,2012-09-28 00:12:00-04,12
615768,Closed,1054,2012-09-27 23:47:00-04,54,2012-09-28 00:04:00-04,21
615777,Closed,1296,2012-09-27 23:57:00-04,49,2012-09-28 00:19:00-04,67,T01134,Registered,02139,1989,Female
615778,Closed,500,2012-09-27 23:59:00-04,36,2012-09-28 00:07:00-04,53
615779,Closed,548,2012-09-28 00:04:00-04,17,2012-09-28 00:13:00-04,75,T01432,Registered,02163,1984,Male
615780,Closed,733,2012-09-28 00:05:00-04,68,2012-09-28 00:17:00-04,73
615781,Closed,456,2012-09-28 00:04:00-04,64,2012-09-28 00:12:00-04,20
615782,Closed,579,2012-09-28 00:12:00-04,4,2012-09-28 00:22:00-04,6
615783,Closed,318,2012-09-28 00:13:00-04,6,2012-09-28 00:18:00-04,54,T01345,Registered,02111,1988,Male
615784,Closed,1058,2012-09-28 00:13:00-04,6,2012-09-28 00:30:00-04,74
615785,Closed,893,2012-09-28 00:14:00-04,60,2012-09-28 00:28:00-04,55
615786,Closed,778,2012-09-28 00:14:00-04,55,2012-09-28 00:27:00-04,76
615787,Closed,342,2012-09-28 00:17:00-04,68,2012-09-28 00:22:00-04,17
615788,Closed,1279,2012-09-28 00:20:00-04,73,2012-09-28 00:41:00-04,73
615789,Closed,337,2012-09-28 00:21:00-04,10,2012-09-28 00:26:00-04,53
615790,Closed,762,2012-09-28 00:22:00-04,76,2012-09-28 00:35:00-04,17
615792,Closed,394,2012-09-28 00:22:00-04,52,2012-09-28 00:29:00-04,33
615793,Closed,1332,2012-09-28 00:30:00-04,66,2012-09-28 00:53:00-04,42,T01295,Registered,02116,1991,Male
615794,Closed,456,2012-09-28 00:31:00-04,55,2012-09-28 00:38:00-04,13
615795,Closed,565,2012-09-28 00:32:00-04,75,2012-09-28 00:41:00-04,90
615796,Closed,313,2012-09-28 00:32:00-04,18,2012-09-28 00:38:00-04,70
615797,Closed,259,2012-09-28 00:33:00-04,3,2012-09-28 00:37:00-04,5
615798,Closed,218,2012-09-28 00:35:00-04,55,2012-09-28 00:39:00-04,45,T01102,Registered,02215,1984,Female
615799,Closed,450,2012-09-28 00:36:00-04,68,2012-09-28 00:43:00-04,79
